feature_set,model,fold,n_train,n_test,n_train_references,n_test_references,inner_best_r2,r2,rmse,mae
combined,LightGBM,1,126,15,37,5,0.5829236709119238,0.755676919792578,51.304611150438795,38.30784697461639
combined,LightGBM,2,127,14,36,6,0.4690679567929504,0.7349291042855561,80.36819912873034,59.9764962422549
combined,LightGBM,3,122,19,40,2,0.3801017366043352,0.6301218954062564,108.13032438246091,72.86182924191498
combined,LightGBM,4,127,14,38,4,0.5619357098273013,0.724539215632729,50.59788999156086,39.66781338918133
combined,LightGBM,5,127,14,38,4,0.47728028975231884,0.6694340787407842,63.975976474943295,52.75850483217522
combined,LightGBM,6,127,14,37,5,0.4363093467418039,0.923464230248824,35.72546006798053,28.923434079609653
combined,LightGBM,7,127,14,38,4,0.7651264304640053,0.1538956630552497,218.42807065269452,128.66450161564268
combined,LightGBM,8,128,13,38,4,0.6022759156718762,0.6383411014719488,82.48209551056277,57.01770978165258
combined,LightGBM,9,129,12,38,4,0.5125438631077126,0.9771408512657183,21.891550642680983,17.36701851098243
combined,LightGBM,10,129,12,38,4,0.5735097512261033,0.2440644063561399,94.71593136315758,71.35073852630681
